"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",391.16053,0.19598,1995.9377,0,390.77628,391.54477
"2","X4",-0.58085,0.19453,-2.9859,0.00285,-0.96226,-0.19944
"3","X7",1.7579,0.16293,10.78933,0,1.43845,2.07735
"4","X8",0.36759,0.07837,4.69062,0,0.21394,0.52124
"5","X10",0.50802,0.22936,2.21496,0.02683,0.05833,0.95772
"6","X11",0.00166,0.02733,0.06068,0.95161,-0.05193,0.05524
"7","X12",2.80067,9.40251,0.29786,0.76583,-15.63444,21.23578
"8","X14",-6.93224,10.83319,-0.63991,0.52228,-28.17243,14.30795
"9","X15",2.61742,12.96499,0.20188,0.84002,-22.80251,28.03735
"10","X16",6.93181,0.53857,12.87086,0,5.87586,7.98775
"11","X18",-7.08234,0.54415,-13.01547,0,-8.14922,-6.01545
"12","X22",-0.10814,0.07132,-1.51638,0.12952,-0.24797,0.03168
"13","X29",0.04709,0.35257,0.13357,0.89375,-0.64417,0.73835
"14","X30",0.98567,0.28863,3.41503,0.00065,0.41977,1.55156
"15","X31",-0.40061,0.19384,-2.06672,0.03884,-0.78067,-0.02056
"16","X36",0.82736,0.34483,2.39934,0.01648,0.15127,1.50345
"17","X37",-2.40477,0.50781,-4.73556,0,-3.40041,-1.40912
"18","X38",0.52979,0.30068,1.76201,0.07816,-0.05973,1.11932
"19","X45",3.25209,0.34451,9.43968,0,2.57661,3.92756
"20","X47",-0.65172,0.21705,-3.0026,0.0027,-1.07728,-0.22615
"21","X55",0.25931,0.28442,0.91171,0.36199,-0.29834,0.81696
"22","X57",-0.64031,0.39744,-1.61106,0.10726,-1.41956,0.13895
"23","X61",-0.19304,0.45439,-0.42483,0.67098,-1.08395,0.69787
"24","X65",-0.00036,0.2328,-0.00156,0.99876,-0.45681,0.45608
"25","X66",-2.3952,0.54784,-4.37206,1e-05,-3.46934,-1.32107
"26","X68",-0.05471,0.0464,-1.17892,0.23851,-0.14569,0.03628
"27","X71",0.2157,0.46522,0.46365,0.64293,-0.69644,1.12784
"28","X72",0.35011,0.37436,0.93522,0.34974,-0.38388,1.0841
"29","X75",3.51418,0.35703,9.84287,0,2.81417,4.21419
"30","X81",0.37467,0.17687,2.11833,0.03422,0.02789,0.72145
"31","X85",0.14427,0.16819,0.85782,0.39105,-0.18548,0.47403
"32","X89",-1.22455,0.07944,-15.41458,0,-1.38031,-1.0688
"33","X90",0.50565,0.86963,0.58146,0.56097,-1.1994,2.2107
"34","X91",0.84968,0.87053,0.97604,0.32911,-0.85714,2.5565
"35","X92",-0.38175,0.10824,-3.527,0.00043,-0.59397,-0.16954
"36","X93",-0.27785,0.25999,-1.06869,0.28528,-0.78761,0.2319
"37","X94",-0.54354,0.29051,-1.87096,0.06144,-1.11313,0.02606
"38","X95",-0.13651,0.10581,-1.29008,0.19711,-0.34397,0.07096
"39","X96",-1.01214,0.19627,-5.15694,0,-1.39695,-0.62732
"40","X101",-0.63543,0.16586,-3.83111,0.00013,-0.96062,-0.31023
"41","X102",-1.12815,0.12392,-9.10385,0,-1.37112,-0.88519
"42","X104",-1.39516,0.09751,-14.30737,0,-1.58635,-1.20397
"43","X105",-4.37411,0.30236,-14.46656,0,-4.96694,-3.78129
"44","X106",0.21119,0.1774,1.19047,0.23395,-0.13663,0.55901
