"","z@i[-1]"
"1",4
"2",7
"3",8
"4",10
"5",11
"6",12
"7",14
"8",15
"9",16
"10",18
"11",22
"12",29
"13",30
"14",31
"15",36
"16",37
"17",38
"18",45
"19",47
"20",55
"21",57
"22",61
"23",65
"24",66
"25",68
"26",71
"27",72
"28",75
"29",81
"30",85
"31",89
"32",90
"33",91
"34",92
"35",93
"36",94
"37",95
"38",96
"39",101
"40",102
"41",104
"42",105
"43",106
"44",107
"45",108
"46",109
"47",110
"48",111
"49",112
"50",115
"51",116
"52",117
"53",118
"54",119
"55",121
"56",122
"57",123
"58",127
"59",129
"60",132
"61",134
"62",135
"63",137
"64",138
"65",139
"66",142
"67",143
"68",144
"69",145
"70",146
"71",147
"72",148
"73",149
"74",151
"75",152
