,AdaBoost,KNN,Decision Tree,Logistic,GBDT,XGBoost,SVM,Random Forest,MLP
0,0.855,0.866,0.892,0.885,0.892,0.892,0.9,0.903,0.907
1,0.892,0.9,0.896,0.911,0.933,0.903,0.911,0.907,0.941
2,0.848,0.866,0.888,0.87,0.896,0.896,0.888,0.907,0.874
3,0.833,0.844,0.87,0.829,0.866,0.881,0.859,0.888,0.877
4,0.862,0.877,0.862,0.892,0.881,0.896,0.903,0.885,0.911
5,0.885,0.896,0.881,0.896,0.914,0.922,0.911,0.937,0.937
6,0.844,0.877,0.874,0.87,0.877,0.892,0.888,0.911,0.877
7,0.888,0.914,0.892,0.918,0.933,0.918,0.941,0.926,0.944
8,0.851,0.866,0.896,0.874,0.903,0.892,0.892,0.9,0.9
9,0.885,0.881,0.874,0.9,0.892,0.9,0.907,0.903,0.907
