id,工作部门,薪资范围,公司基本信息,岗位要求,工作福利,是否接受远程办公,公司是否有标志,工作类型,经验要求,学历要求,公司行业类别,公司地点,是否为虚假招聘信息
0,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,未知,1
1,销售,未知,积极,积极,未知,否,否,未知,未知,未知,未知,其他,1
2,未知,低于5000,积极,积极,未知,否,否,全职,入门级,高中或同等学历,计算机,美国,1
3,未知,未知,积极,未知,未知,否,否,全职,入门级,不确定,健康,美国,1
4,未知,未知,中立,积极,未知,否,否,全职,不适用,未知,其他,美国,0
5,其他,低于5000,积极,积极,未知,否,否,其他,入门级,高中或同等学历,会计,美国,1
6,未知,未知,积极,积极,未知,否,否,全职,未知,未知,休闲,美国,1
7,未知,未知,中立,未知,未知,否,否,未知,未知,未知,未知,未知,1
8,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
9,服务,低于5000,积极,积极,积极,是,是,全职,入门级,高中或同等学历,房地产,美国,1
10,未知,未知,积极,消极,积极,否,是,全职,中高级,学士,媒体,美国,0
11,其他,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,0
12,未知,未知,积极,未知,未知,是,否,未知,未知,未知,未知,美国,1
13,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
14,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
15,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
16,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
17,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
18,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
19,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
20,未知,未知,积极,积极,积极,否,是,全职,未知,高中或同等学历,服务,美国,1
21,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
22,未知,未知,积极,未知,未知,否,否,全职,入门级,未知,会计,美国,1
23,未知,未知,消极,积极,未知,否,否,全职,入门级,高中或同等学历,健康,美国,1
24,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
25,未知,未知,积极,消极,未知,否,否,合同制,不适用,高中或同等学历,其他,美国,1
26,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,0
27,未知,低于5000,积极,积极,未知,否,否,全职,不适用,不确定,其他,英国,1
28,未知,低于5000,消极,消极,未知,否,否,兼职,中高级,硕士,媒体,其他,1
29,未知,低于5000,积极,中立,未知,否,否,全职,入门级,高中或同等学历,电信,美国,1
30,销售,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
31,销售,未知,积极,未知,未知,否,是,全职,不适用,高中或同等学历,其他,美国,1
32,销售,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
33,其他,未知,中立,积极,未知,是,否,未知,未知,未知,未知,美国,1
34,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
35,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
36,营销,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
37,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,英国,1
38,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
39,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
40,未知,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
41,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
42,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
43,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
44,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
45,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
46,其他,未知,积极,积极,未知,是,否,未知,未知,未知,未知,美国,1
47,文员,未知,积极,积极,未知,否,否,未知,未知,未知,未知,美国,1
48,未知,未知,积极,未知,未知,否,否,全职,入门级,学士,石油,美国,1
49,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
50,未知,高于50000,积极,积极,未知,否,否,其他,不适用,不确定,其他,美国,1
51,其他,未知,积极,积极,积极,否,是,全职,中高级,未知,互联网,其他,0
52,未知,未知,积极,积极,积极,否,是,全职,未知,高中或同等学历,服务,美国,1
53,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,美国,1
54,未知,未知,积极,未知,未知,否,否,全职,助理,高中或同等学历,服务,美国,0
55,未知,未知,积极,积极,积极,否,是,全职,助理,高中或同等学历,服务,未知,1
56,未知,未知,积极,积极,积极,否,是,全职,助理,其他,互联网,美国,0
57,文员,低于5000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,英国,1
58,文员,低于5000,积极,积极,未知,否,否,全职,不适用,高中或同等学历,其他,英国,1
59,未知,未知,积极,积极,未知,否,否,全职,未知,未知,石油,美国,1
60,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
61,未知,未知,积极,未知,未知,否,否,未知,未知,未知,未知,美国,1
62,未知,未知,积极,未知,未知,否,否,全职,未知,未知,健康,美国,1
63,未知,未知,积极,积极,未知,否,否,全职,未知,未知,健康,美国,1
64,未知,未知,积极,积极,未知,否,否,其他,未知,不确定,营销,美国,1
65,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,0
66,未知,未知,积极,积极,积极,否,是,全职,中高级,学士,服务,美国,0
67,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
68,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
69,未知,未知,积极,积极,未知,否,否,未知,未知,未知,休闲,美国,1
70,未知,高于50000,积极,积极,未知,否,否,全职,不适用,不确定,营销,美国,1
