Date,Open,High,Low,Close,Turnover,Volume
2014/1/2,5743.64,5865.64,5717.11,5858.92,235,6120.33
2014/1/3,5851.38,5862.02,5777.25,5810.86,187,4753.12
2014/1/6,5796.3,5796.3,5653.26,5663.18,163,3926.09
2014/1/7,5619.79,5732.04,5612.71,5709.09,135,3458.19
2014/1/8,5730.28,5779.91,5713.49,5754.17,154,3726.52
2014/1/9,5744.54,5802.06,5708.02,5711.71,196,4817.6
2014/1/10,5698.63,5736.41,5596.18,5604.16,154,3627.27
2014/1/13,5603.81,5639.41,5524.27,5548.84,140,3294.79
2014/1/14,5549.21,5596.75,5501.87,5595.4,131,3107.74
2014/1/15,5591.91,5661.36,5590.68,5659.66,155,3653.55
2014/1/16,5667.19,5669.9,5606.48,5610.91,119,2978.09
2014/1/17,5609.22,5617.64,5511.91,5514.89,118,2903.29
2014/1/20,5496.66,5528.95,5383.74,5435.54,132,3610.83
2014/1/21,5430.72,5486.59,5430,5457.27,107,2643.84
2014/1/22,5473.09,5572.94,5463.81,5572.31,170,3993.05
2014/1/23,5570.46,5578.18,5527.7,5545.44,154,3745.71
2014/1/24,5538.33,5581.39,5529.17,5576.09,193,4737.66
2014/1/27,5550.72,5550.72,5457.79,5460.21,165,4287.44
2014/1/28,5477.87,5518.92,5464.56,5505.94,182,4491.47
2014/1/29,5523.84,5528.13,5497.01,5523.94,140,3485.35
2014/1/30,5514.31,5525.07,5484.91,5495.56,127,2880.29
2014/2/7,5459.09,5460.41,5409.76,5451.3,158,3725.8
2014/2/10,5482.89,5657.44,5482.89,5654.88,297,7176.99
2014/2/11,5670.89,5742.82,5658.56,5685.82,297,7088.96
2014/2/12,5705.71,5714.75,5658.4,5709.93,229,5410.87
2014/2/13,5697.65,5714.91,5586.33,5589.94,240,5904.01
2014/2/14,5594.67,5682.68,5594.35,5682.58,197,4637.43
2014/2/17,5703.97,5722.61,5675.56,5722.56,233,5757.27
2014/2/18,5728.55,5753.46,5702.89,5729.96,331,7586.7
2014/2/19,5723.16,5807.07,5698.88,5776.43,271,6801.21
2014/2/20,5786.94,5792.34,5717.29,5721.36,243,5814.02
2014/2/21,5721.5,5759.75,5667.91,5698.76,187,4563.37
2014/2/24,5657.09,5713.05,5586.63,5708.81,282,6622.29
2014/2/25,5715.54,5762.09,5535.55,5559.37,341,7822.37
2014/2/26,5533.12,5580.46,5451.16,5579.99,228,5320.25
2014/2/27,5589.01,5614.68,5371.2,5390.22,276,6489.49
2014/2/28,5359.43,5429.36,5290.94,5422.12,214,5290.19
2014/3/3,5416.71,5473.57,5396.47,5458.38,201,4721.42
2014/3/4,5446.97,5447.8,5355.3,5418.48,195,4612.94
2014/3/5,5426.11,5441.35,5330.93,5350.13,155,3754.72
2014/3/6,5342.19,5355.22,5241.26,5304.09,212,5286.19
2014/3/7,5289.07,5412.45,5280.88,5375.62,199,5233.81
2014/3/10,5344.53,5344.53,5249.3,5263.79,189,4491
2014/3/11,5254.34,5338.35,5254.34,5337.55,148,3754.08
2014/3/12,5339.29,5391.87,5282.54,5327.42,187,4601.95
2014/3/13,5326.59,5420.32,5324.99,5406.11,182,4347.71
2014/3/14,5374.99,5395.26,5318.36,5356.82,171,3677.69
2014/3/17,5384.67,5420.23,5353.48,5420.18,194,4300.39
2014/3/18,5424.38,5456.1,5409.9,5422.53,259,5585.58
2014/3/19,5403.32,5405.2,5326.67,5352.53,218,4946.36
2014/3/20,5342.85,5365.44,5203.18,5206.51,201,4562.67
2014/3/21,5180.8,5298.39,5147.49,5295.75,181,4051.43
2014/3/24,5286.19,5295.72,5242.15,5257.26,157,3449.61
2014/3/25,5253.82,5281.03,5230.08,5252.56,141,3027.29
2014/3/26,5297.65,5373.67,5297.65,5316.73,157,3573.95
2014/3/27,5315.66,5317.48,5233.85,5233.85,196,4690.59
2014/3/28,5240.38,5265.87,5144.61,5164.03,178,3890.77
2014/3/31,5169.09,5202.95,5099.34,5133.18,118,2857.42
2014/4/1,5133.69,5172.92,5130.34,5167.24,133,3112.76
2014/4/2,5171.93,5175.07,5103.13,5118.23,153,3592.77
2014/4/3,5127.99,5156.17,5106.43,5119.05,140,3174.8
2014/4/4,5113,5155.88,5093.66,5155.06,127,3117.38
2014/4/8,5131.46,5272.2,5123.23,5272.2,207,4726.05
2014/4/9,5265,5302.05,5249.26,5299.69,184,4156.37
2014/4/10,5300.53,5302.59,5265.88,5288.89,202,4431.28
2014/4/11,5291.5,5385.8,5289.98,5355.29,219,5357.19
2014/4/14,5356.91,5371.19,5328.17,5360.74,157,3803.33
2014/4/15,5338.9,5344.79,5298.8,5304.35,180,4040.78
2014/4/16,5298.83,5320.09,5272.28,5300.77,141,3087.9
2014/4/17,5311.61,5325.5,5262.75,5264.54,139,2885.23
2014/4/18,5243.88,5263.61,5213.83,5252.92,111,2456.47
2014/4/21,5221.49,5294.93,5199.48,5200.63,124,2822.98
